fpr,tpr,thresh
0.0,0.0,1.9778146147727966
0.0033333333333333335,0.0,0.9778146147727966
0.0033333333333333335,0.05,0.9771540760993958
0.006666666666666667,0.05,0.9770494103431702
0.006666666666666667,0.056666666666666664,0.9770232439041138
0.01,0.056666666666666664,0.9769191145896912
0.01,0.14,0.9736270308494568
0.01,0.14666666666666667,0.9735646843910217
0.01,0.2966666666666667,0.9685670137405396
0.01,0.30333333333333334,0.9681482911109924
0.01,0.37,0.9636916518211365
0.013333333333333334,0.37,0.9635921120643616
0.013333333333333334,0.37333333333333335,0.9634568691253662
0.016666666666666666,0.37333333333333335,0.9633483290672302
0.016666666666666666,0.38333333333333336,0.9622548818588257
0.02,0.38333333333333336,0.9621472954750061
0.02,0.46,0.9525167346000671
0.02,0.47,0.9524178504943848
0.02,0.49333333333333335,0.9442999958992004
0.023333333333333334,0.49333333333333335,0.944193959236145
0.023333333333333334,0.5,0.9414095878601074
0.023333333333333334,0.5266666666666666,0.9384799599647522
0.023333333333333334,0.6166666666666667,0.8303055763244629
0.02666666666666667,0.6166666666666667,0.818473756313324
0.02666666666666667,0.6633333333333333,0.7530794739723206
0.03,0.6633333333333333,0.749932050704956
0.03,0.6666666666666666,0.7484003901481628
0.03333333333333333,0.6666666666666666,0.7385210394859314
0.03333333333333333,0.6866666666666666,0.701842725276947
0.03666666666666667,0.6866666666666666,0.695608377456665
0.03666666666666667,0.6933333333333334,0.6816509962081909
0.043333333333333335,0.6933333333333334,0.6778916716575623
0.043333333333333335,0.7033333333333334,0.6599642634391785
0.04666666666666667,0.7033333333333334,0.6574826240539551
0.04666666666666667,0.7233333333333334,0.58572918176651
0.05,0.7233333333333334,0.5848159193992615
0.05,0.7333333333333333,0.5766797065734863
0.06,0.7333333333333333,0.5573974847793579
0.06,0.74,0.5392759442329407
0.06666666666666667,0.74,0.5268176198005676
0.06666666666666667,0.7533333333333333,0.4998681843280792
0.07,0.7533333333333333,0.4952985942363739
0.07,0.7566666666666667,0.49528637528419495
0.07666666666666666,0.7566666666666667,0.4860473871231079
0.07666666666666666,0.76,0.48543062806129456
0.08,0.76,0.468069463968277
0.08,0.7833333333333333,0.42911553382873535
0.08666666666666667,0.7833333333333333,0.4207141697406769
0.08666666666666667,0.7933333333333333,0.3969103693962097
0.09,0.7933333333333333,0.3848964273929596
0.09,0.7966666666666666,0.38197875022888184
0.09333333333333334,0.7966666666666666,0.3743869960308075
0.09333333333333334,0.81,0.35193249583244324
0.1,0.81,0.34744808077812195
0.1,0.8133333333333334,0.3465482294559479
0.11,0.8133333333333334,0.33908864855766296
0.11,0.8166666666666667,0.3365458548069
0.11666666666666667,0.8166666666666667,0.3212873935699463
0.11666666666666667,0.8233333333333334,0.30712324380874634
0.12,0.8233333333333334,0.28831610083580017
0.12,0.84,0.2666724920272827
0.12666666666666668,0.84,0.256478488445282
0.12666666666666668,0.8433333333333334,0.25433680415153503
0.13333333333333333,0.8433333333333334,0.23267674446105957
0.14,0.8433333333333334,0.2319432944059372
0.14333333333333334,0.8433333333333334,0.23151303827762604
0.14333333333333334,0.8566666666666667,0.20397651195526123
0.15,0.8566666666666667,0.2036796361207962
0.15,0.8633333333333333,0.2010156810283661
0.15333333333333332,0.8633333333333333,0.20034074783325195
0.15333333333333332,0.8666666666666667,0.1989331841468811
0.17333333333333334,0.8666666666666667,0.19162431359291077
0.17333333333333334,0.87,0.19125407934188843
0.19,0.87,0.1877770870923996
0.19,0.8733333333333333,0.18698295950889587
0.19333333333333333,0.8733333333333333,0.18472886085510254
0.2,0.8733333333333333,0.183694526553154
0.2,0.9233333333333333,0.18325646221637726
0.2,0.9266666666666666,0.183013916015625
0.20333333333333334,0.9266666666666666,0.18292343616485596
0.20333333333333334,0.93,0.18252511322498322
0.20666666666666667,0.93,0.17933063209056854
0.20666666666666667,0.9333333333333333,0.17743128538131714
0.23333333333333334,0.9333333333333333,0.1730813831090927
0.23333333333333334,0.9366666666666666,0.1722470074892044
0.24,0.9366666666666666,0.16960276663303375
0.24,0.94,0.16898149251937866
0.25333333333333335,0.94,0.16671748459339142
0.25333333333333335,0.9433333333333334,0.16576175391674042
0.27,0.9433333333333334,0.16425132751464844
0.27,0.9466666666666667,0.1626056730747223
0.3,0.9466666666666667,0.15642234683036804
0.3,0.95,0.15583568811416626
0.30333333333333334,0.95,0.15553472936153412
0.30333333333333334,0.9533333333333334,0.15509043633937836
0.31,0.9533333333333334,0.1542261689901352
0.31666666666666665,0.9533333333333334,0.1541047990322113
0.32,0.9533333333333334,0.1539125144481659
0.32,0.9566666666666667,0.15358078479766846
0.3233333333333333,0.9566666666666667,0.15333795547485352
0.3233333333333333,0.96,0.15166480839252472
0.32666666666666666,0.96,0.15133874118328094
0.32666666666666666,0.9633333333333334,0.15090538561344147
0.3466666666666667,0.9633333333333334,0.1497693955898285
0.3466666666666667,0.9666666666666667,0.14969754219055176
0.3566666666666667,0.9666666666666667,0.14863324165344238
0.36333333333333334,0.9666666666666667,0.1480332612991333
0.36666666666666664,0.9666666666666667,0.14801277220249176
0.36666666666666664,0.97,0.1476207822561264
0.38666666666666666,0.97,0.14586955308914185
0.38666666666666666,0.9733333333333334,0.1457633376121521
0.39,0.9733333333333334,0.1456984132528305
0.39,0.9766666666666667,0.14464430510997772
0.41333333333333333,0.9766666666666667,0.14241109788417816
0.41333333333333333,0.98,0.14224548637866974
0.4166666666666667,0.98,0.14180606603622437
0.4166666666666667,0.9866666666666667,0.14135394990444183
0.43333333333333335,0.9866666666666667,0.1404731571674347
0.43333333333333335,0.99,0.14031894505023956
0.5033333333333333,0.99,0.13608703017234802
0.5033333333333333,0.9933333333333333,0.13595856726169586
0.5266666666666666,0.9933333333333333,0.1082179844379425
0.5266666666666666,0.9966666666666667,0.10299688577651978
0.5733333333333334,0.9966666666666667,0.0557679608464241
0.5733333333333334,1.0,0.05173494294285774
0.5866666666666667,1.0,0.033120471984148026
0.5933333333333334,1.0,0.03286316618323326
0.94,1.0,0.002033684402704239
0.9466666666666667,1.0,0.002026318572461605
1.0,1.0,0.0010719324927777052
